,name_of_stock,cipd(dependent),ciptd,cipsd,cipm,dcpd(dependent),dcptd,dcpsd,dcpm,rllsd,rlltd,sfr,sft
221,AMRX,-1,3,3,2,-0.1699998378753662,0.20999979972839355,0.16000008583068848,0.07999968528747559,0,0,-34.4709124534109,-8.154784915679148
222,AMSC,-1,1,3,-2,-0.3400001525878906,0.38000059127807617,0.6900005340576172,-0.009998798370361328,0,0,-34.4709124534109,-8.154784915679148
223,AMSF,-1,3,-1,-2,-0.3300018310546875,0.5600013732910156,-2.289997100830078,-1.9511823020991628,0,0,-34.4709124534109,-8.154784915679148
224,AMSWA,-1,3,3,4,-0.4400005340576172,1.3300018310546875,1.5800018310546875,-0.3699970245361328,0,0,-34.4709124534109,-8.154784915679148
225,AMT,1,1,1,2,3.050018310546875,4.5200042724609375,2.45001220703125,14.889859997072222,2,5,-34.4709124534109,-8.154784915679148
226,AMTB,1,1,1,-5,0.04000091552734375,-1.1700019836425781,-0.9800014495849609,-1.3299999237060547,0,0,-34.4709124534109,-8.154784915679148
227,AMTI,-1,1,-1,2,-0.12999987602233887,0.009999990463256836,-0.18000006675720215,-0.22499966621398926,0,0,-34.4709124534109,-8.154784915679148
228,AMTX,-1,1,1,-6,-0.6399998664855957,0.32000064849853516,0.4200010299682617,-1.309999942779541,0,0,-34.4709124534109,-8.154784915679148
229,AMWD,-1,3,3,0,-0.029998779296875,2.270000457763672,2.889995574951172,-3.6000022888183594,0,0,-34.4709124534109,-8.154784915679148
230,AMWL,-1,3,3,7,-0.23000001907348633,0.5100002288818359,0.4500002861022949,1.4100005626678467,0,0,-34.4709124534109,-8.154784915679148
231,AMX,1,1,-1,10,0.20000076293945312,-0.5,-1.30999755859375,0.2899951934814453,0,1,-34.4709124534109,-8.154784915679148
232,AMYT,1,1,-1,-3,0.13000011444091797,0.28999996185302734,0.4200005531311035,0.20800065994262695,0,0,-34.4709124534109,-8.154784915679148
233,AMZN,-1,3,5,6,-2.5900039672851562,8.089996337890625,11.660003662109375,12.880012512207031,6,18,-34.4709124534109,-8.154784915679148
234,AN,1,-1,3,0,0.06999969482421875,-0.589996337890625,3.9099960327148438,-0.9199981689453125,4,5,-34.4709124534109,-8.154784915679148
235,ANAB,-1,1,5,6,-1.1499996185302734,1.5900001525878906,2.6599998474121094,2.059999465942383,0,0,-34.4709124534109,-8.154784915679148
236,ANDE,-1,1,1,-6,-0.3699989318847656,1.370004653930664,1.7400035858154297,-6.093561658211989,0,0,-34.4709124534109,-8.154784915679148
237,ANET,-1,3,5,8,-2.6300048828125,4.209991455078125,8.589988708496094,10.300003051757812,1,4,-34.4709124534109,-8.154784915679148
238,ANF,-1,3,3,-2,-0.07999992370605469,1.8099994659423828,1.8900012969970703,-0.3899974822998047,0,0,-34.4709124534109,-8.154784915679148
239,ANGI,-1,3,7,2,-0.19000005722045898,0.39999961853027344,1.609999656677246,0.49000048637390137,0,0,-34.4709124534109,-8.154784915679148
240,ANGO,-1,3,3,12,-0.279998779296875,1.5100040435791016,2.2900047302246094,3.050006866455078,0,2,-34.4709124534109,-8.154784915679148
241,ANIK,-1,1,3,6,-0.21000099182128906,0.05999946594238281,-0.3299999237060547,1.4900074005126953,0,0,-34.4709124534109,-8.154784915679148
242,ANIP,1,1,3,4,0.10000038146972656,-0.09000015258789062,1.7199993133544922,6.210000991821289,0,0,-34.4709124534109,-8.154784915679148
